Date and time,11/12/2023 14:57:40
Voltage,Time
0.9351563453674316,+01.23393E+00RV
2.646061420440674,+01.23393E+00RV
3.4310357570648193,+01.23393E+00RV
+01.23393E+00RV,4.2535240650177
+01.23393E+00RV,5.099859237670898
+01.23393E+00RV,5.792874574661255
+01.23393E+00RV,6.5124616622924805
+01.23393E+00RV,7.322415828704834
8.028897047042847,+01.23393E+00RV
8.845993757247925,+01.23393E+00RV
9.72548532485962,+01.23393E+00RV
10.63197374343872,+01.23393E+00RV
11.48133373260498,+01.23393E+00RV
+01.23393E+00RV,12.257290124893188
+01.23393E+00RV,13.088154077529907
+01.23393E+00RV,13.92798924446106
+01.23393E+00RV,14.771400213241577
+01.23393E+00RV,15.631889581680298
16.494240283966064,+01.23393E+00RV
17.36577343940735,+01.23393E+00RV
+01.23392E+00RV,18.21965503692627
19.106439352035522,+01.23393E+00RV
+01.23393E+00RV,20.082395792007446
+01.23393E+00RV,20.985458850860596
+01.23393E+00RV,21.838247299194336
+01.23393E+00RV,22.581987619400024
+01.23393E+00RV,23.448909997940063
24.239426851272583,+01.23393E+00RV
25.136237382888794,+01.23393E+00RV
26.017760515213013,+01.23393E+00RV
27.48869228363037,+01.23394E+00RV
