Voltage,Time
+0001.686E+00NV,1702319197.1170647
1702319200.858547,+0001.686E+00NV
1702319201.6306171,+0001.686E+00NV
1702319202.4118788,+0001.686E+00NV
1702319203.2341394,+0001.686E+00NV
1702319204.0152287,+0001.686E+00NV
1702319204.7628083,+0001.686E+00NV
+0001.686E+00NV,1702319205.59143
+0001.686E+00NV,1702319206.394804
+0001.686E+00NV,1702319207.1378465
+0001.686E+00NV,1702319207.9323437
1702319208.7457528,+0001.686E+00NV
1702319209.513059,+0001.686E+00NV
1702319210.3001492,+0001.686E+00NV
1702319211.0665467,+0001.686E+00NV
1702319211.8052554,+0001.686E+00NV
1702319212.6095278,+0001.686E+00NV
+0001.686E+00NV,1702319213.361973
+0001.686E+00NV,1702319214.2110562
+0001.686E+00NV,1702319214.9568164
+0001.686E+00NV,1702319215.7935731
1702319216.5492764,+0001.686E+00NV
1702319217.3051522,+0001.686E+00NV
1702319218.0627244,+0001.686E+00NV
1702319218.7974658,+0001.686E+00NV
1702319219.5090606,+0001.686E+00NV
1702319220.221262,+0001.686E+00NV
1702319220.92798,+0001.686E+00NV
+0001.686E+00NV,1702319221.6191766
+0001.686E+00NV,1702319222.326567
+0001.686E+00NV,1702319223.1155536
+0001.686E+00NV,1702319223.8876634
1702319224.750774,+0001.686E+00NV
1702319225.5433338,+0001.686E+00NV
1702319226.3075182,+0001.686E+00NV
1702319227.0475302,+0001.686E+00NV
1702319227.7616627,+0001.686E+00NV
1702319228.4855163,+0001.686E+00NV
+0001.686E+00NV,1702319229.3212917
+0001.686E+00NV,1702319230.1407127
+0001.686E+00NV,1702319230.9755013
+0001.686E+00NV,1702319231.6801975
1702319232.4009168,+0001.686E+00NV
1702319233.1050925,+0001.686E+00NV
1702319233.82139,+0001.686E+00NV
1702319234.539716,+0001.686E+00NV
1702319235.3636763,+0001.686E+00NV
1702319236.0882795,+0001.686E+00NV
1702319236.7893603,+0001.686E+00NV
+0001.686E+00NV,1702319237.590739

##AA battery with Voltage range 200V
