Date and time,11/12/2023 15:38:20
Voltage,Time
1.082200050354004,+000.5966E+00RV
2.858103036880493,+000.5945E+00RV
+000.5928E+00RV,3.760835886001587
+000.5911E+00RV,4.91897177696228
+000.6056E+00RV,5.798426628112793
+000.6053E+00RV,6.8373472690582275
8.011272430419922,+000.6009E+00RV
+000.5956E+00RV,9.161063432693481
10.18947148323059,+000.5929E+00RV
11.421680688858032,+000.5953E+00RV
+001.1237E+00RV,12.484710454940796
+001.2322E+00RV,13.682823181152344
+001.1271E+00RV,14.761093854904175
+001.2314E+00RV,15.750540018081665
16.999699592590332,+001.2320E+00RV
17.959564685821533,+001.2320E+00RV
+001.2320E+00RV,18.866557836532593
+001.2320E+00RV,19.941536903381348
+001.2320E+00RV,20.98903799057007
+001.2320E+00RV,22.082723379135132
+001.2320E+00RV,23.13631010055542
24.27940845489502,+001.2302E+00RV
25.388095378875732,+001.2320E+00RV
26.456563234329224,+001.2845E+00RV
27.51195502281189,+001.3729E+00RV
28.865466356277466,+001.3489E+00RV
+001.3269E+00RV,30.110089778900146
31.210532665252686,+001.3100E+00RV
+001.2960E+00RV,32.293503761291504
+001.2806E+00RV,33.49576783180237
+001.2344E+00RV,36.081026554107666

## may need to make a distinct array 
do a cycle that with each new data point see if the value is greater
less than or equal to another value and move it to the appropreat 
array location.
scatter plot with connector lines may be helpful.
