Date and time,11/12/2023 15:33:00
Voltage,Time
1.1103761196136475,+001.2320E+00RV
2.748642921447754,+001.2320E+00RV
3.5728161334991455,+001.2320E+00RV
4.406720161437988,+001.2320E+00RV
5.32488489151001,+001.2320E+00RV
+001.2320E+00RV,6.1730427742004395
+001.2320E+00RV,7.060847759246826
+001.2318E+00RV,7.890674114227295
8.874197006225586,+001.2320E+00RV
9.71912670135498,+001.2320E+00RV
10.599932193756104,+001.2320E+00RV
11.454310894012451,+001.2320E+00RV
12.527822256088257,+001.2320E+00RV
13.529515981674194,+001.2320E+00RV
+001.2319E+00RV,14.479964017868042
+001.2320E+00RV,15.394209384918213
16.438207626342773,+001.2320E+00RV
17.44019317626953,+001.2320E+00RV
18.517804384231567,+001.2320E+00RV
19.4043927192688,+001.2320E+00RV
20.43562150001526,+001.2320E+00RV
21.39328098297119,+001.2320E+00RV
+001.2319E+00RV,22.493234157562256
+001.2320E+00RV,23.554389715194702
24.551525115966797,+001.2320E+00RV
25.686323642730713,+001.2320E+00RV
26.851168632507324,+001.2320E+00RV
27.953784704208374,+001.2320E+00RV
29.069498538970947,+001.2320E+00RV
+001.2320E+00RV,30.077540636062622
32.84100699424744,+001.2317E+00RV
