Voltage,Time
-0008.859E+00NV,1701450878.1260567
-0008.889E+00NV,1701450881.9123776
1701450882.680298,-0008.869E+00NV
-0008.847E+00NV,1701450883.4345977
-0008.960E+00NV,1701450884.2096536
-0008.917E+00NV,1701450885.0699987
1701450885.8525066,-0008.879E+00NV
-0008.851E+00NV,1701450886.6668596
-0008.836E+00NV,1701450887.5192406
1701450888.3006063,-0008.818E+00NV
