Date and time,12/12/2023 13:32:45
Voltage,Time
0.9395902156829834,+0000.049E+00NV
2.72704815864563,+0000.049E+00NV
3.536229372024536,+0000.049E+00NV
4.339021682739258,+0000.049E+00NV
5.14117693901062,+0000.049E+00NV
5.920557260513306,+0000.049E+00NV
+0000.049E+00NV,6.756463527679443
+0000.050E+00NV,7.670718193054199
8.575754404067993,+0000.050E+00NV
9.418829202651978,+0000.050E+00NV
10.228227615356445,+0000.050E+00NV
10.99560546875,+0000.050E+00NV
11.804924249649048,+0000.050E+00NV
12.693716287612915,+0000.050E+00NV
13.482945680618286,+0000.050E+00NV
+0000.050E+00NV,14.218121767044067
+0000.050E+00NV,14.970881700515747
+0000.050E+00NV,15.757158756256104
16.576523065567017,+0000.050E+00NV
17.32806897163391,+0000.050E+00NV
+0000.051E+00NV,18.135767459869385
+0000.051E+00NV,18.96022939682007
+0000.051E+00NV,19.713059425354004
+0000.051E+00NV,20.494654893875122
+0000.051E+00NV,21.289445877075195
+0000.051E+00NV,22.16682767868042
+0000.051E+00NV,22.95007824897766
+0000.051E+00NV,23.710010766983032
+0000.051E+00NV,24.637752771377563
+0000.052E+00NV,25.5730881690979
+0000.052E+00NV,26.303194522857666
+0000.052E+00NV,27.128270387649536
+0000.052E+00NV,28.024999618530273
+0000.052E+00NV,28.86822009086609
+0000.052E+00NV,29.684785842895508
+0000.052E+00NV,30.539939880371094
+0000.052E+00NV,31.41219162940979
32.34077429771423,+0000.052E+00NV
+0000.052E+00NV,33.188602924346924
33.98950004577637,+0000.053E+00NV
34.776185750961304,+0000.053E+00NV
35.72309398651123,+0000.053E+00NV
36.52102851867676,+0000.053E+00NV
37.320499897003174,+0000.053E+00NV
38.144609689712524,+0000.053E+00NV
+0000.053E+00NV,39.21798491477966
40.14254665374756,+0000.053E+00NV
40.959723234176636,+0000.053E+00NV
41.99581551551819,+0000.054E+00NV
42.96048665046692,+0000.054E+00NV
43.73761820793152,+0000.054E+00NV
44.68780589103699,+0000.054E+00NV
45.5244505405426,+0000.054E+00NV
46.37016153335571,+0000.054E+00NV
47.29268431663513,+0000.054E+00NV
48.1998348236084,+0000.054E+00NV
49.05723834037781,+0000.054E+00NV
49.889580726623535,+0000.054E+00NV
50.79687476158142,+0000.054E+00NV
51.59470772743225,+0000.055E+00NV
+0000.055E+00NV,52.68603515625
+0000.055E+00NV,53.54980683326721
+0000.055E+00NV,54.36541795730591
+0000.055E+00NV,55.157161235809326
56.062047481536865,+0000.055E+00NV
56.97540807723999,+0000.055E+00NV
57.8965220451355,+0000.055E+00NV
58.776636600494385,+0000.055E+00NV
+0000.056E+00NV,59.65843605995178
+0000.056E+00NV,60.563878774642944
+0000.056E+00NV,61.64791488647461
+0000.056E+00NV,62.45907473564148
+0000.056E+00NV,63.38546895980835
+0000.056E+00NV,64.18266654014587
+0000.056E+00NV,65.02261185646057
+0000.056E+00NV,66.08023595809937
+0000.056E+00NV,67.10727858543396
+0000.056E+00NV,68.09702968597412
+0000.057E+00NV,68.94479727745056
+0000.057E+00NV,69.96857833862305
+0000.057E+00NV,70.8304340839386
+0000.057E+00NV,71.92511320114136
72.75687146186829,+0000.057E+00NV
73.64458012580872,+0000.057E+00NV
74.76757478713989,+0000.057E+00NV
75.82362413406372,+0000.057E+00NV
+0000.058E+00NV,76.67139983177185
+0000.058E+00NV,77.68095231056213
+0000.058E+00NV,78.62451481819153
+0000.058E+00NV,79.68904829025269
80.61639857292175,+0000.058E+00NV
81.61456799507141,+0000.058E+00NV
82.59818053245544,+0000.058E+00NV
83.55290699005127,+0000.058E+00NV
+0000.058E+00NV,84.53872561454773
+0000.058E+00NV,85.532794713974
+0000.058E+00NV,86.49790477752686
+0000.058E+00NV,87.50474214553833
88.43145179748535,+0000.059E+00NV
89.36905598640442,+0000.059E+00NV
90.29176592826843,+0000.059E+00NV
91.26077961921692,+0000.059E+00NV
92.42871928215027,+0000.059E+00NV
93.27720332145691,+0000.059E+00NV
+0000.059E+00NV,94.16074872016907
+0000.059E+00NV,95.1072199344635
96.06805753707886,+0000.060E+00NV
97.03688955307007,+0000.060E+00NV
97.99091362953186,+0000.060E+00NV
98.9952118396759,+0000.060E+00NV
99.95044112205505,+0000.060E+00NV
+0000.060E+00NV,101.01544141769409
+0000.060E+00NV,101.88703846931458
+0000.060E+00NV,102.90032982826233
+0000.060E+00NV,103.97687864303589
107.47925186157227,+0000.061E+00NV
108.79467344284058,+0000.061E+00NV
109.78189706802368,+0000.061E+00NV
110.73546290397644,+0000.061E+00NV
+0000.061E+00NV,111.63860940933228
112.62329721450806,+0000.061E+00NV
113.71780896186829,+0000.061E+00NV
+0000.062E+00NV,114.66966438293457
+0000.062E+00NV,115.73766803741455
+0000.062E+00NV,116.65930914878845
+0000.062E+00NV,117.68353176116943
+0000.062E+00NV,118.65991997718811
+0000.062E+00NV,119.65235948562622
+0000.062E+00NV,120.64338612556458
+0000.062E+00NV,121.62695217132568
+0000.062E+00NV,122.60310626029968
+0000.062E+00NV,123.60667824745178
124.57518792152405,+0000.063E+00NV
125.93559503555298,+0000.063E+00NV
126.9850754737854,+0000.063E+00NV
128.12299704551697,+0000.063E+00NV
129.1942822933197,+0000.063E+00NV
130.1377809047699,+0000.063E+00NV
131.10344243049622,+0000.063E+00NV
132.13665866851807,+0000.063E+00NV
133.10548305511475,+0000.063E+00NV
134.16110372543335,+0000.064E+00NV
135.2429211139679,+0000.064E+00NV
136.29416275024414,+0000.064E+00NV
137.31182074546814,+0000.064E+00NV
138.34487748146057,+0000.064E+00NV
139.3960361480713,+0000.064E+00NV
